date,dele_category_count,modif_count,modif_category_count,modif_bakery_count,modif_bakery_category_count,modif_dairy_count,modif_dairy_category_count,modif_price10_count,modif_price10_category_count,modif_price20_count,modif_price20_category_count,modif_price20above_count,modif_price20above_category_count,week_sale_value,week_perish,week_shortage,week_dairy_sale_value,week_dairy_perish,week_dairy_shortage,week_bakery_sale_value,week_bakery_perish,week_bakery_shortage,week_price10_sale_value,week_price10_perish,week_price10_shortage,week_price20_sale_value,week_price20_perish,week_price20_shortage,week_price20above_sale_value,week_price20above_perish,week_price20above_shortage,pre_sale,pre_perish,pre_shortage,pre_sale_dairy,pre_sale_bakery,pre_sale_price10,pre_sale_price20,pre_sale_price20above,days,week_sale_value,week_order_value,week_order_category,week_order_item,week_order_bakery_value,week_order_bakery_category,week_order_bakery_item,week_order_dairy_value,week_order_dairy_category,week_order_dairy_item,week_order_price10_value,week_order_price10_category,week_order_price10_item,week_order_price20_value,week_order_price20_category,week_order_price20_item,week_order_price20above_value,week_order_price20above_category,week_order_price20above_item,week_AI_Perish,week_AI_Shortage,week_manager_Perish,week_manager_Shortage,week_AI_bakery_Perish,week_AI_bakery_Shortage,week_manager_bakery_Perish,week_manager_bakery_Shortage,week_AI_dairy_Perish,week_AI_dairy_Shortage,week_manager_dairy_Perish,week_manager_dairy_Shortage,week_AI_price10_Perish,week_AI_price10_Shortage,week_manager_price10_Perish,week_manager_price10_Shortage,week_AI_price20_Perish,week_AI_price20_Shortage,week_manager_price20_Perish,week_manager_price20_Shortage,week_AI_price20above_Perish,week_AI_price20above_Shortage,week_manager_price20above_Perish,week_manager_price20above_Shortage
2018-04-17,210,36,345,21,210,15,135,23,250,6,54,7,41,402407.0,242.28,77347.6390537627,245733.5,0.0,7883.584343107873,156673.5,242.28,69464.0547106548,154122.0,228.35999999999999,56528.7797718681,89864.0,13.92,20818.859281894576,158421.0,0.0,0.0,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,0,40,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23,281,56,451,40,310,16,141,40,316,7,48,9,87,451045.5,282.81,70462.44612478875,277663.0,0.0,14172.335968379448,173382.5,282.81,56290.110156409304,169063.5,176.05,48154.28960304962,94012.0,106.75999999999999,22308.156521739133,187970.0,0.0,0.0,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,6,45,10642.570000000005,2099,490,3980.2599999999984,1239,301,6662.3099999999995,860,182,5060.949999999997,1707,364,2101.26,197,77,3480.3600000000006,195,49,306.0,24607.681818181816,846.0,25742.681818181816,0.0,6032.681818181818,0.0,6783.681818181818,306.0,18575.0,846.0,18959.0,0.0,6491.681818181818,0.0,7110.681818181818,0.0,5284.0,0.0,5096.0,306.0,12832.0,846.0,13536.0
2018-04-30,178,76,688,48,404,28,284,54,491,12,90,10,107,472775.5,331.70000000000005,106402.25424797305,280793.0,0.0,21531.857616068144,191982.5,331.70000000000005,84870.3966319049,186362.5,266.18,71183.6807053762,100920.0,65.52,34923.37354259686,185493.0,0.0,295.2,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,13,47,8765.210000000012,1802,490,3624.179999999998,1166,301,5141.030000000001,636,182,4275.6900000000005,1477,364,1892.3400000000001,179,77,2597.1800000000003,146,49,16.8,53420.667746674284,86.4,50617.09631810286,0.0,30788.896318102863,0.0,29429.896318102863,16.8,22631.77142857143,86.4,21187.2,0.0,29276.896318102863,0.0,28001.896318102863,16.8,14343.771428571428,86.4,13375.2,0.0,9800.0,0.0,9240.0
2018-05-07,137,80,764,47,394,33,370,58,540,9,74,13,150,482523.0,248.47000000000003,95125.26283358363,293477.5,0.0,12887.051158645276,189045.5,248.47000000000003,82238.21167493836,177750.0,234.55,67938.37574420242,100528.0,13.92,26812.887089381205,204245.0,0.0,374.0,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,20,48,11278.449999999999,2150,490,5224.219999999999,1457,301,6054.229999999998,693,182,5107.49,1661,364,3377.780000000001,332,77,2793.1800000000003,157,49,9.219999999999999,72792.75258799171,723.0999999999999,67116.25258799171,9.219999999999999,18835.419254658387,51.08,17221.419254658387,0.0,53957.33333333333,672.02,49894.83333333333,9.219999999999999,23137.752587991716,64.1,21600.252587991716,0.0,27391.0,11.0,25360.0,0.0,22264.0,648.0,20156.0
2018-05-14,218,127,2496,82,645,45,1851,108,2353,7,58,12,85,487701.0,448.1599999999998,83889.08498906755,306334.5,0.0,22512.32380952381,181366.5,448.1599999999998,61376.76117954375,176738.0,411.9199999999998,42527.1793435308,111490.0,36.24,26974.953264584383,199473.0,0.0,14386.95238095238,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,27,48,9637.06,1938,490,3753.660000000001,1168,301,5883.4000000000015,770,182,4515.690000000004,1572,364,1952.4199999999994,188,77,3168.95,178,49,0.0,76062.84420677363,47.39,68685.34420677363,0.0,19006.903030303027,9.59,17866.903030303027,0.0,57055.94117647059,37.8,50818.44117647059,0.0,25289.903030303027,47.39,23124.403030303027,0.0,18468.941176470587,0.0,17704.941176470587,0.0,32304.0,0.0,27856.0
2018-05-21,369,108,1160,64,472,44,688,85,931,5,43,18,186,475761.5,374.0699999999999,67980.89524228632,292388.0,0.0,3172.1944915765353,183373.5,374.0699999999999,64808.70075070977,175268.5,323.18999999999994,54438.812551951996,95374.0,50.88,12490.654118905726,205119.0,0.0,1051.4285714285716,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,34,47,15293.97999999999,3757,490,4751.5199999999995,1493,301,10542.46,2264,182,9818.54,3373,364,2204.08,200,77,3271.3599999999997,184,49,4.06,88297.6181253529,2430.9871428571428,78270.3324110672,4.06,47332.61812535291,42.71714285714285,44187.8324110672,0.0,40965.0,2388.27,34082.5,4.06,57797.618125352914,2430.9871428571428,50170.3324110672,0.0,16916.0,0.0,15808.0,0.0,13584.0,0.0,12292.0
2018-05-28,516,83,884,46,405,37,479,70,775,5,56,8,53,471451.0,262.18,58804.87669136398,282357.0,5.4,2045.2185316231755,189094.0,256.78000000000003,56759.65815974081,178909.0,247.54000000000005,48933.58375767227,116048.0,14.64,9755.00721940598,176494.0,0.0,116.28571428571428,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,41,47,9796.16,1931,487,4403.870000000001,1445,301,5392.29,486,179,4702.52,1577,364,2358.1000000000004,200,77,2735.54,154,46,33.86000000000001,95213.39240480881,134.18,88750.46383338024,3.06,29347.383116883117,26.82,27789.954545454544,30.800000000000004,65866.0092879257,107.36,60960.5092879257,33.86000000000001,36086.971352177236,44.18,34536.04278074866,0.0,26616.42105263158,0.0,25458.42105263158,0.0,32510.0,90.0,28756.0
2018-06-04,289,71,627,47,355,24,272,57,524,8,53,6,50,505959.0,381.6299999999998,106171.29641160207,308938.5,0.0,36091.195770689585,197020.5,381.6299999999998,70080.10064091247,199030.0,353.78999999999996,83201.08906971793,109926.0,27.84,20786.026890756297,197003.0,0.0,2184.1804511278197,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,48,50,10388.05,2255,483,4784.649999999996,1460,301,5603.4000000000015,795,175,5394.799999999998,1886,364,2525.2999999999997,230,77,2467.95,139,42,35.209999999999994,102220.87357023111,92.72,98678.87357023111,11.34,40616.79373829831,63.02,37924.79373829831,23.869999999999997,61604.079831932766,29.700000000000003,60754.079831932766,35.209999999999994,58035.496946854466,92.72,57037.496946854466,0.0,33883.09090909091,0.0,31763.090909090908,0.0,10302.285714285714,0.0,9878.285714285714
2018-06-11,219,130,423,106,287,24,136,108,357,13,43,9,23,496027.0,305.12000000000006,60044.96361779736,317664.0,0.0,10819.738273491215,178363.0,305.12000000000006,49225.22534430614,185008.0,297.44000000000005,46232.33773217404,101732.0,7.68,13812.625885623329,209287.0,0.0,0.0,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,55,49,11029.740000000002,2249,486,4380.620000000001,1429,307,6649.120000000003,820,172,5405.330000000004,1873,367,2047.6399999999996,175,77,3576.7700000000004,201,42,80.84,103828.68247694333,324.33,97057.18247694333,8.84,36571.20974967062,33.33,34481.70974967062,72.0,67257.47272727273,291.0,62575.47272727273,8.84,42852.682476943344,33.33,40361.182476943344,0.0,27928.0,93.0,26752.0,72.0,33048.0,198.0,29944.0
2018-06-18,584,142,762,106,423,36,339,115,623,15,82,12,57,486865.5,708.1399999999998,57799.58104746467,310602.5,66.0,17627.74808009328,176263.0,642.1399999999998,40171.832967371374,180023.5,634.9399999999998,48183.06857982731,99738.0,21.6,9616.512467637356,207104.0,51.599999999999994,0.0,454563.31666666665,208.082,119549.1799544839,271654.01666666666,182909.30000000002,183144.61666666667,58276.86666666667,213141.8333333333,62,48,7738.530000000004,1607,465,3194.1099999999997,1060,308,4544.420000000001,547,150,3898.719999999999,1348,350,1411.04,123,77,2428.7699999999995,136,38,0.0,67774.79588677576,3.0,65498.795886775755,0.0,34498.79588677576,0.0,33897.29588677576,0.0,33276.0,3.0,31601.5,0.0,30802.795886775762,3.0,29982.79588677576,0.0,21860.0,0.0,21220.0,0.0,15112.0,0.0,14296.0
