date,dele_category_count,modif_count,modif_category_count,modif_bakery_count,modif_bakery_category_count,modif_dairy_count,modif_dairy_category_count,modif_price10_count,modif_price10_category_count,modif_price20_count,modif_price20_category_count,modif_price20above_count,modif_price20above_category_count,week_sale_value,week_perish,week_shortage,week_dairy_sale_value,week_dairy_perish,week_dairy_shortage,week_bakery_sale_value,week_bakery_perish,week_bakery_shortage,week_price10_sale_value,week_price10_perish,week_price10_shortage,week_price20_sale_value,week_price20_perish,week_price20_shortage,week_price20above_sale_value,week_price20above_perish,week_price20above_shortage,pre_sale,pre_perish,pre_shortage,pre_sale_dairy,pre_sale_bakery,pre_sale_price10,pre_sale_price20,pre_sale_price20above,days,week_sale_value,week_order_value,week_order_category,week_order_item,week_order_bakery_value,week_order_bakery_category,week_order_bakery_item,week_order_dairy_value,week_order_dairy_category,week_order_dairy_item,week_order_price10_value,week_order_price10_category,week_order_price10_item,week_order_price20_value,week_order_price20_category,week_order_price20_item,week_order_price20above_value,week_order_price20above_category,week_order_price20above_item,week_AI_Perish,week_AI_Shortage,week_manager_Perish,week_manager_Shortage,week_AI_bakery_Perish,week_AI_bakery_Shortage,week_manager_bakery_Perish,week_manager_bakery_Shortage,week_AI_dairy_Perish,week_AI_dairy_Shortage,week_manager_dairy_Perish,week_manager_dairy_Shortage,week_AI_price10_Perish,week_AI_price10_Shortage,week_manager_price10_Perish,week_manager_price10_Shortage,week_AI_price20_Perish,week_AI_price20_Shortage,week_manager_price20_Perish,week_manager_price20_Shortage,week_AI_price20above_Perish,week_AI_price20above_Shortage,week_manager_price20above_Perish,week_manager_price20above_Shortage
2018-02-01,2,1,0,1,0,0,0,1,0,0,0,0,0,552706.5,326.0199999999999,165849.70216051728,330686.5,41.400000000000006,116236.79862700228,222020.0,284.62,49612.90353351499,235532.5,256.42,58822.088407464566,104981.0,69.6,19969.973020787264,212193.0,0.0,87057.64073226546,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,0,55,7082.569999999997,1952,276,4507.559999999999,1533,172,2575.01,419,100,4811.499999999997,1766,204,1601.76,147,44,669.31,39,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,394,67,797,45,573,22,224,50,675,7,54,10,68,785462.0,319.81999999999994,130755.73062866149,451420.5,0.0,38069.86748870549,334041.5,319.81999999999994,92685.86313995603,329086.0,227.90000000000006,81951.64099280717,216672.0,91.91999999999999,45782.756302521004,239704.0,0.0,3021.333333333333,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,60,78,14247.6,3760,483,8875.75,2886,294,5371.850000000001,874,182,9888.489999999994,3384,357,3198.26,306,77,1160.85,70,49,69.69666666666667,122631.94155338984,157.2366666666667,117762.94155338986,69.69666666666667,52766.773495777794,114.03666666666668,49908.773495777794,0.0,69865.16805761206,43.2,67854.16805761206,46.49666666666667,45476.268188391674,92.27666666666666,42387.268188391674,23.2,45491.673364998176,64.96000000000001,44719.673364998176,0.0,31664.0,0.0,30656.0
2018-04-09,382,72,888,52,711,20,177,57,781,4,26,11,81,717527.5,253.78000000000003,97149.93353259336,371733.0,0.0,24524.487197038172,345794.5,253.78000000000003,72625.44633555526,340339.5,188.98,70413.63323663147,183458.0,64.8,25725.728867390517,193730.0,0.0,1010.5714285714286,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,67,71,14177.170000000002,3524,483,7853.2599999999975,2618,294,6323.910000000002,906,182,8698.43,3078,357,3795.48,347,77,1683.2600000000002,99,49,15.12,102838.04985994399,0.0,97025.54985994399,15.12,61916.049859943974,0.0,58152.549859943974,0.0,40922.0,0.0,38873.0,15.12,64686.049859943974,0.0,60645.549859943974,0.0,35552.0,0.0,34260.0,0.0,2600.0,0.0,2120.0
2018-04-16,435,74,736,58,601,16,135,59,641,5,32,10,63,767653.0,369.12999999999994,163315.4563477981,415256.0,0.0,77622.94851835471,352397.0,369.12999999999994,85692.5078294434,351478.0,282.72999999999996,69183.1218940166,194896.0,86.4,52715.620168067224,221279.0,0.0,41416.71428571429,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,74,76,11428.190000000006,3142,490,7149.959999999997,2451,301,4278.2300000000005,691,182,7740.249999999997,2825,364,2835.8599999999997,266,77,852.0799999999999,51,49,72.05,133650.78082505727,173.75,129380.28082505729,56.55,87141.95729564552,65.25,84077.45729564552,15.5,46508.82352941176,108.5,45302.82352941176,56.55,70744.49511077158,65.25,67477.99511077159,15.5,37586.28571428571,108.5,36822.28571428571,0.0,25320.0,0.0,25080.0
2018-04-23,593,86,870,61,666,25,204,67,747,3,18,16,105,953215.0,333.46999999999997,347055.3177459548,584920.5,0.0,241534.16904761904,368294.5,333.46999999999997,105521.14869833578,369993.0,261.7100000000001,110285.17904626441,217954.0,71.76,22440.1386996904,365268.0,0.0,214330.0,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,81,95,13923.939999999995,3576,490,8236.470000000007,2769,301,5687.470000000001,807,182,9006.720000000003,3183,364,3489.5999999999995,308,77,1427.62,85,49,5.1284210526315785,196296.72540400777,234.0284210526316,190386.22540400777,5.1284210526315785,74120.09207067442,234.0284210526316,71025.09207067442,0.0,122176.63333333333,0.0,119361.13333333333,5.1284210526315785,86871.92540400776,234.0284210526316,83469.42540400775,0.0,68504.8,0.0,66956.8,0.0,40920.0,0.0,39960.0
2018-04-30,567,119,1204,78,816,41,388,90,986,4,42,25,176,910443.5,275.15000000000003,338989.097015317,554001.5,0.0,236721.2202122955,356442.0,275.15000000000003,102267.87680302156,364682.5,240.35000000000002,111785.81232704347,195198.0,34.8,42098.28468827354,350563.0,0.0,185105.0,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,88,91,15011.190000000008,3794,490,8371.319999999998,2823,301,6639.87,971,182,9125.369999999994,3311,364,4077.499999999999,370,77,1808.32,113,49,59.46857142857144,270554.5072212617,241.17857142857147,260694.0072212617,53.768571428571434,94504.1346722421,98.79857142857144,90531.6346722421,5.7,176050.37254901964,142.38,170162.37254901964,59.46857142857144,104755.30722126171,241.17857142857147,100278.80722126171,0.0,73759.2,0.0,71095.2,0.0,92040.0,0.0,89320.0
2018-05-07,338,79,894,55,695,24,199,59,755,6,54,14,85,865345.5,192.79999999999998,320553.4345766091,518233.5,0.0,220593.550750591,347112.0,192.79999999999998,99959.88382601827,360653.5,185.12,106130.26973464008,192488.0,7.68,25977.139200943537,312204.0,0.0,188446.02564102566,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,95,86,11448.270000000004,3036,490,6931.99,2363,301,4516.28,673,182,7434.369999999999,2693,364,2908.8199999999997,272,77,1105.08,71,49,0.0,155905.26229946522,31.200000000000003,149468.26229946522,0.0,63694.76229946524,25.200000000000003,60023.26229946524,0.0,92210.5,6.0,89445.0,0.0,62179.26229946524,31.200000000000003,58570.26229946524,0.0,49824.0,0.0,48568.0,0.0,43902.0,0.0,42330.0
2018-05-14,427,69,808,51,628,18,180,55,706,1,6,13,96,945643.0,214.99000000000007,130684.26694487147,558287.0,0.0,28234.68270676692,387356.0,214.99000000000007,102449.58423810454,376034.0,150.91,85990.39062305086,198514.0,64.08,40954.92895339954,371095.0,0.0,3738.9473684210525,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,102,94,13000.500000000002,3326,490,7104.370000000004,2414,301,5896.130000000001,912,182,8192.750000000004,2943,364,3320.6200000000003,288,77,1487.1299999999999,95,49,48.07,125654.6518207283,110.76,119892.6518207283,45.9,69706.65182072831,64.26,66750.65182072831,2.17,55948.0,46.5,53142.0,48.07,67994.65182072831,64.26,64784.6518207283,0.0,30780.0,46.5,29468.0,0.0,26880.0,0.0,25640.0
2018-05-21,515,82,1133,49,788,33,345,63,993,4,33,15,107,1003546.0,187.80000000000004,188889.88112259473,635807.0,0.0,15915.026367389062,367739.0,187.80000000000004,172974.85475520568,351697.0,159.24,129442.49719218056,215000.0,28.56,59447.38393041427,436849.0,0.0,0.0,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,109,100,13315.150000000003,3413,484,8411.04,2736,302,4904.110000000001,677,175,8799.559999999994,3036,365,3334.38,306,77,1181.21,71,42,78.24,193323.98131156768,69.6,185551.98131156768,52.199999999999996,63470.48131156769,69.6,58946.48131156769,26.04,129853.5,0.0,126605.5,78.24,72391.98131156768,69.6,67833.98131156768,0.0,54718.0,0.0,53124.0,0.0,66214.0,0.0,64594.0
2018-06-11,187,58,768,43,667,15,101,41,641,5,52,12,75,1022079.5,185.78000000000003,340697.3066872643,669666.0,0.0,184393.86391714582,352413.5,185.78000000000003,156303.44277011856,368437.5,185.78000000000003,144902.47779685652,172544.0,0.0,69794.82889040784,481098.0,0.0,126000.0,1003676.7999999999,334.7166666666667,217096.7834501402,598464.4166666667,405212.3833333333,436214.8,116298.46666666666,451163.5333333333,130,102,11459.910000000002,2981,497,6892.179999999999,2248,308,4567.7300000000005,733,182,7541.6299999999965,2645,371,2825.2999999999997,271,77,1092.98,65,49,0.0,119156.0948051948,76.3,113431.0948051948,0.0,57179.80909090908,76.3,53310.80909090908,0.0,61976.28571428571,0.0,60120.28571428571,0.0,39390.09480519481,76.3,35937.09480519481,0.0,50406.0,0.0,49094.0,0.0,29360.0,0.0,28400.0
