date,dele_category_count,modif_count,modif_category_count,modif_bakery_count,modif_bakery_category_count,modif_dairy_count,modif_dairy_category_count,modif_price10_count,modif_price10_category_count,modif_price20_count,modif_price20_category_count,modif_price20above_count,modif_price20above_category_count,week_sale_value,week_perish,week_shortage,week_dairy_sale_value,week_dairy_perish,week_dairy_shortage,week_bakery_sale_value,week_bakery_perish,week_bakery_shortage,week_price10_sale_value,week_price10_perish,week_price10_shortage,week_price20_sale_value,week_price20_perish,week_price20_shortage,week_price20above_sale_value,week_price20above_perish,week_price20above_shortage,pre_sale,pre_perish,pre_shortage,pre_sale_dairy,pre_sale_bakery,pre_sale_price10,pre_sale_price20,pre_sale_price20above,days,week_sale_value,week_order_value,week_order_category,week_order_item,week_order_bakery_value,week_order_bakery_category,week_order_bakery_item,week_order_dairy_value,week_order_dairy_category,week_order_dairy_item,week_order_price10_value,week_order_price10_category,week_order_price10_item,week_order_price20_value,week_order_price20_category,week_order_price20_item,week_order_price20above_value,week_order_price20above_category,week_order_price20above_item,week_AI_Perish,week_AI_Shortage,week_manager_Perish,week_manager_Shortage,week_AI_bakery_Perish,week_AI_bakery_Shortage,week_manager_bakery_Perish,week_manager_bakery_Shortage,week_AI_dairy_Perish,week_AI_dairy_Shortage,week_manager_dairy_Perish,week_manager_dairy_Shortage,week_AI_price10_Perish,week_AI_price10_Shortage,week_manager_price10_Perish,week_manager_price10_Shortage,week_AI_price20_Perish,week_AI_price20_Shortage,week_manager_price20_Perish,week_manager_price20_Shortage,week_AI_price20above_Perish,week_AI_price20above_Shortage,week_manager_price20above_Perish,week_manager_price20above_Shortage
2018-04-17,1817,107,1246,66,607,41,639,95,1078,2,18,10,150,522916.5,482.50200000000007,195850.73566571178,312067.0,79.372,51159.00025434923,210849.5,403.13,144691.7354113626,209322.5,380.81,126381.9622564854,133916.0,37.82,26203.762229102165,179678.0,63.872,43265.011180124224,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,0,52,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23,2030,90,1003,62,513,28,490,74,708,5,30,11,265,581602.0,308.34999999999997,272054.22274039505,364807.0,94.67,117929.33090438978,216795.0,213.67999999999998,154124.89183600526,228404.0,260.42999999999995,151676.8857398535,138616.0,44.92,58312.721615926144,214582.0,3.0,62064.61538461538,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,6,58,19716.62999999999,4343,492,9544.14,2560,303,10172.489999999998,1783,182,9614.889999999998,3513,366,4726.200000000001,519,77,5375.54,311,49,124.31031578947369,105602.09265275487,20.634,117325.38212643909,75.44631578947369,38778.98338359267,11.52,40909.77285727688,48.864,66823.1092691622,9.113999999999999,76415.6092691622,124.31031578947369,44400.49265275489,20.634,47111.7821264391,0.0,11541.6,0.0,11925.6,0.0,49660.0,0.0,58288.0
2018-04-30,1152,47,564,25,200,22,364,33,329,2,12,12,223,528472.5,241.03000000000006,145608.59194127313,329773.0,0.0,34677.89827643976,198699.5,241.03000000000006,110930.69366483336,206380.5,241.03000000000006,84984.05337840467,146804.0,0.0,57984.53856286845,175288.0,0.0,2640.0,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,13,52,19089.33000000001,4301,481,7335.730000000007,2466,292,11753.599999999997,1835,182,10153.15,3705,355,2223.2800000000007,212,77,6712.9,384,49,0.0,74932.72496626181,37.17,84830.7249662618,0.0,10805.05829959514,37.17,11041.55829959514,0.0,64127.66666666667,0.0,73789.16666666666,0.0,14722.724966261809,37.17,15116.724966261807,0.0,3290.0,0.0,3458.0,0.0,56920.0,0.0,66256.0
2018-05-07,1204,70,885,34,284,36,601,57,686,2,12,11,187,566209.0,134.57000000000002,238668.89985628636,354332.0,0.0,96301.19223640357,211877.0,134.57000000000002,142367.70761988274,217350.0,127.61,123143.06995836983,130422.0,6.96,67739.57435217002,218437.0,0.0,47786.255545746484,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,20,56,19953.71,4808,476,7846.329999999998,2664,287,12107.380000000001,2144,182,11972.439999999993,4272,350,1988.1399999999999,191,77,5993.13,345,49,723.95,97622.97613686623,941.8199999999999,102167.97613686623,0.0,29220.762824172733,14.89,28914.262824172733,723.95,68402.2133126935,926.93,73253.7133126935,75.95,41151.63425274415,77.82,40216.63425274415,0.0,11811.42857142857,0.0,11799.42857142857,648.0,44659.9133126935,864.0,50151.9133126935
2018-05-14,1700,79,1016,37,333,42,683,64,777,2,14,13,225,616007.5,304.95,244245.6165580639,404257.0,42.400000000000006,169524.7638368855,211750.5,262.55,74720.85272117842,225052.5,262.55,63031.90454190671,121562.0,0.0,26023.62724540681,269393.0,42.400000000000006,155190.08477075043,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,27,61,19437.20000000002,4393,464,6770.260000000004,2321,275,12666.94,2072,182,10233.579999999998,3781,338,2386.08,223,77,6817.540000000001,389,49,275.0,105863.50621339444,32.0,110083.50621339443,0.0,29117.172880061116,0.0,29568.672880061116,275.0,76746.33333333334,32.0,80514.83333333333,3.0,44579.506213394445,0.0,45927.506213394445,0.0,6252.0,0.0,5844.0,272.0,55032.0,32.0,58312.0
2018-05-21,1583,65,791,37,334,28,457,50,595,1,12,14,184,589267.5,155.2,164679.26093152587,379964.0,30.0,41224.937298780555,209303.5,125.20000000000002,123454.32363274538,218721.5,125.20000000000002,100024.44786444766,139068.0,0.0,41939.94350186091,231478.0,30.0,22714.869565217392,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,34,58,21172.150000000016,4716,448,7425.760000000004,2469,259,13746.390000000005,2247,182,11097.010000000002,4049,322,2496.6,233,77,7578.540000000001,434,49,489.6628571428571,97813.17566643882,440.52,104690.6042378674,51.12,21709.812030075187,8.52,22723.312030075187,438.5428571428571,76103.36363636365,432.0,81967.29220779221,111.66285714285715,31569.175666438823,8.52,32638.604237867396,0.0,3452.0,0.0,3476.0,378.0,62792.0,432.0,68576.0
2018-05-28,2643,124,2458,74,839,50,1619,100,1741,11,325,13,392,597175.5,661.7679999999996,145045.55926900983,369241.5,137.94799999999998,48784.54003560939,227934.0,523.8199999999997,96261.0192334004,239405.5,484.2399999999998,84552.35113101774,148318.0,58.42,35318.78909037299,209452.0,119.10799999999999,25174.419047619045,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,41,59,21540.739999999994,4446,436,7119.420000000002,2294,254,14421.320000000003,2152,175,9932.73,3560,317,4545.24,480,73,7062.77,406,46,373.7442857142857,124223.01715049655,77.0,132853.6600076394,122.60428571428571,40045.5783945157,0.0,43670.72125165856,251.14,84177.43875598087,77.0,89182.93875598087,213.74428571428572,52737.21715049656,0.0,56374.860007639414,0.0,31239.8,77.0,28950.8,160.0,40246.0,0.0,47528.0
2018-06-04,1267,59,736,40,451,19,285,44,505,4,24,11,207,552739.0,271.81,153396.87859873785,332311.0,153.79999999999998,16861.582976981743,220428.0,118.00999999999999,136535.2956217561,226293.0,99.28999999999999,105501.45102981551,145040.0,22.32,46177.54185463659,181406.0,150.2,1717.8857142857141,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,48,55,15863.969999999992,3900,435,6921.179999999999,2282,263,8942.790000000003,1618,165,9350.309999999998,3413,326,2566.12,261,67,3947.54,226,42,665.9499999999999,57525.36695018089,179.68,66415.36695018089,89.94999999999999,26733.306799804937,17.68,28164.306799804937,576.0,30792.06015037594,162.0,38251.06015037594,89.94999999999999,29145.306799804937,17.68,30825.306799804937,0.0,17016.06015037594,0.0,16328.06015037594,576.0,11364.0,162.0,19262.0
2018-06-11,862,129,741,90,403,39,338,101,598,10,53,18,90,659765.5,873.1159999999999,126727.42998265255,421345.0,33.036,22501.799991958505,238420.5,840.0799999999998,104225.62999069404,238741.5,788.4799999999998,90444.3247706572,148210.0,51.599999999999994,33250.72425961439,272814.0,33.036,3032.3809523809527,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,55,65,20135.290000000008,4457,446,6891.03,2348,280,13244.260000000002,2109,165,10237.590000000006,3802,338,2497.34,235,72,7400.360000000001,420,36,21.0,33743.8,66.0,35444.3,0.0,2647.5,0.0,2769.0,21.0,31096.3,66.0,32675.3,21.0,6521.8,66.0,6298.3,0.0,3972.0,0.0,3804.0,0.0,23250.0,0.0,25342.0
2018-06-18,550,151,947,111,519,40,428,119,711,20,155,12,81,615151.5,509.36999999999983,138331.3944211082,388104.0,47.0,28430.322383731946,227047.5,462.36999999999983,109901.07203737626,220413.5,455.40999999999985,93297.96143035415,145660.0,17.96,43632.69013361116,249078.0,36.0,1400.742857142857,660065.7000000001,332.98825000000005,298651.8287480372,416759.1166666667,243306.58333333334,245109.66666666666,89493.13333333333,325462.89999999997,62,61,17180.98,4154,431,7293.430000000007,2429,280,9887.550000000001,1725,151,9857.150000000003,3641,329,2608.8800000000006,248,70,4714.950000000001,265,32,0.0,41929.570381836944,59.400000000000006,45146.070381836944,0.0,5824.903715170279,0.0,6182.403715170279,0.0,36104.666666666664,59.400000000000006,38963.666666666664,0.0,9648.90371517028,59.400000000000006,10567.40371517028,0.0,3560.6666666666665,0.0,3714.6666666666665,0.0,28720.0,0.0,30864.0
