date,DelegationDecision_demand,DelegationDecision,DelegationDecision_bakery,DelegationDecision_dairy,DelegationDecision_price10,DelegationDecision_price20,sale_improvement,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20
2018-04-09,0.837529198027511,0.8674948240165632,0.840531561461794,0.9085714285714286,0.8571428571428571,0.8968253968253969,-0.06904688814243483,-0.09311928407982206,-0.05346662269261358,-0.11718212886039288,-0.03914373920595314,0.008076521358654613,0.009592894084242161,0.007136201229098185,0.015218292048573119,0.01266068083457141
2018-04-16,0.8205645161290323,0.8775510204081632,0.8766233766233766,0.8742857142857143,0.8763736263736264,0.8809523809523809,-0.07464447211481745,-0.09582806278012664,-0.06093391473597041,-0.10780172854637521,-0.054940382484470245,0.010228900864058164,0.01245429916134221,0.00884208706675502,0.011120365108680199,0.021664162797049986
2018-04-23,0.8919428725410941,0.926530612244898,0.935064935064935,0.9085714285714286,0.9395604395604396,0.8888888888888888,-0.09525107085821898,-0.07927859538119794,-0.10558886226336334,-0.09620581478920719,-0.0977578939895803,0.008520394067792397,0.010757392087837877,0.007029962036995002,0.011833905978769219,0.025892738396063306
2018-04-30,0.8361581920903954,0.8714285714285714,0.8603896103896104,0.8857142857142857,0.8681318681318682,0.8809523809523809,0.007913321543586378,-0.03248109916220155,0.03405761556919562,-0.08041296613218456,0.06722926914159835,0.015764309413152735,0.012463923405284892,0.017762951334379905,0.01693097497842968,0.025889725938433562
2018-05-07,0.8348623853211009,0.9163265306122449,0.9448051948051948,0.8628571428571429,0.9423076923076923,0.8412698412698413,-0.07456399042037885,-0.08551129452032466,-0.06747861743628931,-0.12961826564034057,-0.040216971870310994,0.006128812981753065,0.006117038296627445,0.006136286487694062,0.008263456180776169,0.014155844155844156
2018-05-14,0.9244239631336405,0.9285714285714286,0.9448051948051948,0.8971428571428571,0.9313186813186813,0.9206349206349206,-0.09481909768194649,-0.12019035022669305,-0.07839817927940096,-0.13648217710006294,-0.07009420411506469,0.02607160282830261,0.02502856514117527,0.026716070196628562,0.039998544351372366,0.012869407675435245
2018-05-21,0.5020255531318167,0.8471074380165289,0.8705501618122977,0.7976190476190477,0.8547945205479452,0.8235294117647058,-0.06998638873873848,-0.05023446820571005,-0.0827703328815983,-0.11367074906370178,-0.043090105148852316,0.0014333903190256842,0.005191875178803287,-0.001085484884328017,0.005269830775004024,-0.0029946941831320594
2018-05-28,0.8211470508290296,0.8739837398373984,0.8698412698412699,0.8764705882352941,0.8652291105121294,0.9008264462809917,0.0707021830741741,-0.06087311294687538,0.15586105317496535,-0.11386303890971106,0.19643642037405515,0.012215407743756517,0.011902341315766049,0.012380038387715932,0.015781999839140647,0.03192070747217806
2018-06-04,0.8734011151197114,0.9295774647887324,0.9492063492063492,0.8914285714285715,0.9353099730458221,0.9126984126984127,-0.03679836592595582,-0.02532457271942157,-0.044224496018661796,-0.034112915384386065,-0.0398089198677166,0.006129017956107294,0.002108558782659417,0.008782617064761397,0.004192427411518636,0.02202112651825345
2018-06-11,0.7198795180722891,0.7665995975855131,0.7333333333333333,0.8171428571428572,0.7601078167115903,0.7857142857142857,0.021013770417918482,-0.03197529326291628,0.05530963694621297,-0.08939206589800897,0.09552460115711625,0.023555566995051697,0.03769092251687378,0.01516350258296907,0.03715534809189561,0.038294887780548625
2018-06-18,0.8181532663316583,0.8873239436619719,0.8603174603174604,0.9314285714285714,0.876010781671159,0.9206349206349206,0.03047611820691388,-0.08660233038572511,0.10625226081735997,-0.11852397756841412,0.13110338193127102,0.008023570703343546,0.01426008558156564,0.004690816955420119,0.01466613975920928,0.014599504541701043
