period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,outperform_neighbor,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,dele_item_price10,dele_item_price20,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20,sale_bakery_improvement_average,sale_dairy_improvement_average,sale_price10_improvement_average,sale_price20_improvement_average,outperform_area_bakery,outperform_area_dairy,outperform_area_price10,outperform_area_price20
0,0.0391705069124423,0.1739343619827385,-0.0045111536087991,-0.1703460404296654,-0.1784163036403523,4,0,0.9799691833590138,0.9523809523809524,0.9714285714285714,0.968944099378882,0.9375,-0.0107349849446203,0.3067905577161429,0.1302797076400517,0.235264995391113,0.0253942508407996,-0.0213804091707151,0.017655117085174,0.0449156305506216,0.2104579281464265,0.2290272151103437,0.3436383311342844,0.1808433337178749,-0.2211929130910468,0.0777633426057991,-0.2133586234942327,0.0544216616732381
1,0.0460829493087557,0.4575158737531767,-0.0389760699465031,-0.0051644514751213,-0.0307414877808879,1,0,0.941421143847487,0.9365079365079364,0.9771428571428572,0.9472049689440992,0.9732142857142856,0.0574361220218514,0.7497364473186645,0.3086824577980152,0.6560845528822562,0.0191718417612422,-0.0651612280356005,0.0123032429299708,0.0321945785369476,0.1518842601658603,0.3010342115080134,0.2526494728171979,0.2875709844128269,-0.0944481381440089,0.448702235810651,0.0560329849808172,0.3685135684694292
2,0.0506912442396313,0.2419385143563791,-0.0243213563421375,-0.1303161443881921,-0.1191234696482711,3,0,0.9696843853820598,0.9722222222222222,0.9142857142857144,0.9782608695652174,0.8660714285714286,0.0614068020031451,0.3714364871531107,0.1853973025891307,0.3254586687499231,0.0129995501079781,-0.0458441144404759,0.0075487534820524,-0.0182396733909702,0.0941369838620189,0.1395709586545997,0.1545771504573312,0.117115463747988,-0.0327301818588738,0.2318655284985109,0.0308201521317994,0.2083432050019349
3,0.0915178571428571,0.2206343731245932,-0.0153982558939334,-0.0770998567541671,-0.1832026607773192,5,1,0.9548338932437476,0.9285714285714286,0.8742857142857143,0.9464285714285714,0.7946428571428571,-0.0704159145589473,0.4325706595227064,0.1292613062878633,0.3309832667364135,0.0298375914404333,-0.0372705799632889,0.0126232548858198,0.0352258453808831,-0.0068391766870934,0.1306202964971715,0.055009142869727,0.1061736889599411,-0.0635767378718538,0.3019503630255349,0.0742521634181362,0.2248095777764723
4,0.1188340807174887,0.3206141360432669,0.0492533454852693,-0.0512284612559009,-0.1489334885367001,4,0,0.8891196013289037,0.8901515151515151,0.8628571428571429,0.9226190476190476,0.7545454545454545,0.0305807428804575,0.531388247464859,0.2297614247939733,0.4466684077550814,0.0160937598427561,0.065881550971946,0.0166781338691096,0.1994442022667829,0.0423710807192343,0.1286657425603055,0.0878249461646493,0.1168850182737424,-0.0117903378387768,0.4027225049045534,0.1419364786293239,0.3297833894813389
5,0.0865603644646924,0.2609611380593398,-0.0180025618288858,-0.1437878346641407,-0.1279131284846,3,0,0.9191919191919192,0.906614785992218,0.92,0.9311377245508982,0.8571428571428571,-0.189351885251101,0.5914077911012103,0.0736695166574877,0.461188108640662,0.0064962594284627,-0.0273015492590621,0.0146505426053166,-0.0340946205571565,0.0382273817296854,0.2487322183201006,0.1239454794525178,0.2331420555240042,-0.2275792669807864,0.3426755727811097,-0.0502759627950301,0.2280460531166577
6,0.0806451612903225,0.1374990243097804,-0.0127738562563551,-0.233798665374348,-0.273367129563032,5,0,0.92106450157871,0.9047619047619048,0.9371428571428572,0.933130699088146,0.8761904761904762,-0.1794158574593344,0.3690444330013799,0.0598426097844213,0.2224916435030478,0.0284269528982547,-0.0311752575455403,0.0211420629726142,0.0260898473050864,0.0552324362786195,0.163732688338074,0.1063781377197254,0.1575154606569282,-0.2346482937379539,0.2053117446633058,-0.0465355279353041,0.0649761828461195
7,0.0576036866359447,0.6111393189398667,0.0005745395040877,-0.0727586807759153,-0.0176540704658146,6,0,0.9456204379562044,0.9444444444444444,0.9371428571428572,0.9544072948328268,0.9047619047619048,-0.1552256155753347,1.175673254677351,0.3627330615135767,0.9210716832370492,-0.0201503655246627,0.0065707819869013,0.0168158739963469,-0.0188346139773143,0.0777983241157332,0.6338857153845648,0.3699284368362452,0.556576140452021,-0.2330239396910679,0.5417875392927861,-0.0071953753226685,0.3644955427850282
8,0.0447058823529411,0.0950689730702515,0.011686062432645,-0.2422864092542135,-0.2419231944502906,5,0,0.9328772979905944,0.9876543209876544,0.9085714285714286,0.971875,0.9047619047619048,-0.2633647727677883,0.3577235092247684,0.0369679832712536,0.1562092903350084,0.0040751184088865,0.0147630039945211,0.0001454774092501,0.0300030321406913,0.0283888678361247,0.0931105846648444,0.0863843700291916,0.072002979625422,-0.291753640603913,0.2646129245599239,-0.049416386757938,0.0842063107095863
9,0.0196560196560196,0.19157387981491,0.0032287285977981,-0.1510006478252658,-0.1879870447060888,0,0,0.9509399358092618,0.9911111111111112,0.9657142857142856,0.97682119205298,0.9904761904761904,-0.3238243463636554,0.5707989992951183,0.0160896560723312,0.3703256837312645,8.711302159236366e-05,0.0042364292265296,0.0019227791261936,0.0111798287345385,-0.0207467063078864,0.2182154098019136,0.0543794226093243,0.204868376972387,-0.303077640055769,0.3525835894932047,-0.0382897665369931,0.1654573067588774
10,0.167487684729064,-0.5945034737202828,0.1346543174698542,-0.0435999138431174,0.0175574541118946,6,3,0.5819742489270386,0.8663594470046083,0.7857142857142857,0.8362369337979094,0.8235294117647058,-0.7378983773535629,-0.4892941129385161,-0.8677811399479827,-0.4577983372301509,0.0631723934630997,0.1619902978061088,0.005676224248712,0.2497926772023157,-0.4462974053873095,-0.2520369008233266,-0.6485144746761538,-0.1832990671027151,-0.2916009719662533,-0.2372572121151894,-0.2192666652718289,-0.2744992701274357
11,0.23,0.0018629984758765,0.0962048691139069,0.0809145950487921,0.2150799086679475,7,0,0.7051397655545536,0.7251184834123223,0.8131868131868132,0.7935943060498221,0.7142857142857143,-0.1999560416446826,0.148194238377238,-0.1137734341224453,0.0979433251308521,0.1191901134123977,0.0842708374690455,0.0640131696927325,0.0958385415527178,-0.1576987836002795,-0.077092547839444,-0.2607933359877163,-0.0199711793202837,-0.042257258044403,0.225286786216682,0.147019901865271,0.1179145044511359
12,0.0225563909774436,-0.0045472540099079,-0.0021654796129651,-0.0335662096886525,0.0622747202357302,5,0,0.988265306122449,0.9714285714285714,0.9835164835164836,0.9785714285714284,0.9747899159663864,-0.2082360411597768,0.1432031457168251,-0.1404963083027829,0.1081504169204793,0.0046186058271532,-0.0056665690182188,0.0034797727093729,0.0,-0.101562900712269,-0.0981244739380059,-0.1755749478757173,-0.0658654713445297,-0.1066731404475077,0.241327619654831,0.0350786395729344,0.174015888265009
13,0.2358276643990929,0.0502924991141946,0.1698291744848441,-0.121278337867265,-0.1258987102395522,1,0,0.6255125284738041,0.726890756302521,0.8010204081632653,0.7453416149068323,0.8151260504201681,-0.1985824021527885,0.2314911709120575,0.0490462928236542,0.0547851774966974,0.1735444547001881,0.1680275730404358,0.155193594996931,0.3120537753703582,0.0156337123977314,-0.0315747447356271,0.0621518924818175,-0.0659935114798611,-0.2142161145505199,0.2630659156476846,-0.0131055996581633,0.1207786889765585
14,0.1192660550458715,0.0255534223453568,0.0489839218082833,-0.1380464722687743,-0.1617315544741657,6,0,0.897721989772199,0.8205128205128205,0.9489795918367347,0.8647798742138365,0.923728813559322,-0.2098727044180503,0.1968309109268788,-0.0697092214333129,0.107755873232817,0.1029970049969983,0.0224132331425829,0.082812961352345,0.0419736842105263,0.0123646005475131,0.0093617120023799,0.0400775735700533,-0.0030091586818585,-0.2222373049655635,0.1874691989244988,-0.1097867950033662,0.1107650319146755
15,0.0636792452830188,-0.091127951121071,0.0089413221484593,-0.2364655331019454,-0.2765132671389124,5,0,0.918722786647315,0.912280701754386,0.9642857142857144,0.9262820512820512,0.9642857142857144,-0.2914178747504233,0.0544400501946575,-0.0737233840383365,-0.125699079014204,0.013134528474061,0.0068416373394741,0.0361682944979317,-0.0385570668243642,0.0571254028030199,-0.058673264196313,0.0889951814175603,-0.096750143321451,-0.3485432775534432,0.1131133143909705,-0.1627185654558968,-0.0289489356927529
16,0.1100702576112412,0.0129084163869369,0.0404997509855617,-0.1181376233245244,-0.1772787740671977,3,1,0.909564393939394,0.8398268398268398,0.9489795918367347,0.8761904761904762,0.9285714285714286,-0.2441411970311388,0.2003496449950472,0.0239165283437271,0.0007095128453189,0.053176850571748,0.0345514575658592,0.0372175960131653,0.0204290091930541,0.0136922586955665,-0.018521358377568,0.0847644067578235,-0.0863582743987663,-0.2578334557267053,0.2188710033726152,-0.0608478784140964,0.0870677872440852
17,0.1797752808988764,0.0002079161894504,0.2118242810171653,-0.1975850572109105,-0.2250970511913529,4,0,0.7502732240437159,0.8285714285714286,0.81,0.8258258258258259,0.8035714285714286,-0.2622162782150769,0.191705352432941,-0.0152259904385849,0.0089367350922961,0.0739204213232588,0.2754417189636443,0.0790125119135169,0.0349921218487394,0.0762727473417745,-0.0089303397052167,0.1562390470658935,-0.0747008513545142,-0.3384890255568514,0.2006356921381577,-0.1714650375044784,0.0836375864468103
18,0.2154963680387409,0.0488348038859747,0.2719928728864728,-0.2288672709933804,-0.3029814195842119,3,0,0.6119473189087489,0.8761904761904762,0.6896551724137931,0.8039867109634552,0.7321428571428571,-0.3295161012218826,0.3265174989064607,-0.0340068662491351,0.1240049084193821,0.1183502842922386,0.3298592855318191,0.2069904304586878,0.0760072878709005,0.0690816438233069,0.1636362074613508,0.1830525346481601,0.1076264095049514,-0.3985977450451895,0.1628812914451098,-0.2170594008972952,0.0163784989144306
19,0.3842364532019704,0.0941393838501147,0.2800141344827953,-0.1623877698348026,-0.2102472961578655,5,0,0.4057279236276849,0.625615763546798,0.6059113300492611,0.6020408163265306,0.6517857142857143,-0.2738818220456436,0.3639417083282295,0.0709975697232935,0.1247471437317968,0.2211547433891098,0.3033630567117131,0.224860533392934,0.2013679923334931,0.1095923837522451,0.0943992535895377,0.2206837427576533,0.037016291118066,-0.3834742057978887,0.2695424547386917,-0.1496861730343598,0.0877308526137307
20,0.271461716937355,0.069451247635518,0.0437023622165393,-0.1309802458244481,-0.2841172557650001,2,1,0.6521508231545406,0.6143497757847534,0.8509615384615384,0.6666666666666666,0.8613138686131386,-0.314279662185459,0.3510594163431563,-0.0787807040080794,0.2047825500823275,0.1110507183057374,0.0182317633854938,0.1319915379611567,-0.0364496562879094,0.0425251381952027,0.0926016891654954,0.0855834497494548,0.1098215222166817,-0.3568048003806617,0.2584577271776608,-0.1643641537575343,0.0949610278656457
21,0.316628701594533,0.1300047216146017,0.1317583432979044,-0.167811161072431,-0.2293074824909133,0,0,0.6112650046168052,0.668141592920354,0.6981132075471698,0.6701030927835051,0.7094594594594594,-0.2035929765286683,0.3740115290075398,-0.0099912642013885,0.2679642830449508,0.0246403339824586,0.1780227260352575,0.078823378668834,0.0971795970852978,0.0909885120511674,0.1176705960825283,0.1320512283487143,0.1523353648190417,-0.2945814885798358,0.2563409329250114,-0.1420424925501028,0.1156289182259091
22,0.203579418344519,0.0510718167351125,0.1445490332074996,-0.2048603675083301,-0.2520428312707911,5,0,0.7096430474160895,0.7589285714285714,0.8287037037037037,0.7952218430034129,0.7987012987012987,-0.2772569390435161,0.291471812483364,-0.1328374080591072,0.2144392534276659,0.0691503703285713,0.1759904579518459,0.1013238163286297,-0.0466188050023158,0.0670335748419785,0.1791244437583255,0.1003868962976966,0.2228582404631864,-0.3442905138854946,0.1123473687250385,-0.2332243043568038,-0.0084189870355205
23,0.2719101123595505,0.1190894783737338,0.1165652225576621,-0.1688098732418623,-0.1970712195240071,2,0,0.5777479892761395,0.8190045248868778,0.6267281105990783,0.7010309278350515,0.7792207792207793,-0.250490227568782,0.3899521787203713,-0.0590413661880029,0.2884272914055535,0.102617999600138,0.1221693081412399,0.1858459341232386,0.0099551251771374,0.0571392840878897,0.1418931772958741,0.1147206399776771,0.1571672710916476,-0.3076295116566717,0.2480590014244971,-0.17376200616568,0.1312600203139058
24,0.325,0.4710107794472999,0.1170875791073299,-0.2456485271689163,-0.2644643444116383,5,0,0.5877152163797115,0.7142857142857143,0.625,0.7062937062937062,0.6168831168831169,-0.2400733372871862,0.9949194607798856,0.2168110510064395,0.763332130550462,-0.0486780547295516,0.1641398283017272,0.0590679974284444,-0.079774866966844,0.0527317950593998,0.8263540368641581,0.4392680912853874,0.744510214818408,-0.292805132346586,0.1685654239157274,-0.2224570402789479,0.018821915732054
