period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,outperform_neighbor,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,dele_item_price10,dele_item_price20,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20,sale_bakery_improvement_average,sale_dairy_improvement_average,sale_price10_improvement_average,sale_price20_improvement_average,outperform_area_bakery,outperform_area_dairy,outperform_area_price10,outperform_area_price20
0,0.2876712328767123,0.3425249346726747,0.124464260632835,-0.0463882915154785,0.1090725286119288,4,0,0.744392523364486,0.7111801242236024,0.7032967032967034,0.7714285714285715,0.5317460317460317,0.4045826031129079,0.2427544582651634,0.4443962450764346,0.2348838166301374,0.1103546174021045,0.1402314216090135,0.0831318715334471,0.1070904109589041,0.4797493279726367,0.4208820031235968,0.6837557991754277,0.3805311435000173,-0.0751667248597288,-0.1781275448584334,-0.2393595540989931,-0.1456473268698799
1,0.324853228962818,0.4532519323336142,0.1034767415696365,0.0552683350779114,0.1261199220043284,2,0,0.791866527632951,0.6708074534161491,0.6703296703296703,0.7142857142857143,0.5555555555555556,0.3996807273863024,0.4646384772254564,0.5714112196560879,0.3404997245408557,0.0586908820430174,0.1457937512606719,0.0486838962161063,0.1680983750548968,0.2886018373417768,0.3612090279683013,0.503747806810057,0.2759302460792389,0.1110788900445255,0.1034294492571551,0.0676634128460308,0.0645694784616167
2,0.2287968441814595,0.2572544192575657,0.0030315579289063,0.0525885609474251,0.077705536816111,4,1,0.7936117936117936,0.7547169811320755,0.7912087912087912,0.7795275590551181,0.746031746031746,0.236574066040846,0.2417288647429434,0.3865280838437647,0.1079383581483216,-0.0118189854767417,0.0176537073210226,-0.0135002992390777,-0.0615426997245178,0.1303716020201742,0.1594250692312704,0.2301420474414279,0.1214528953944547,0.1062024640206717,0.0823037955116729,0.1563860364023367,-0.0135145372461331
3,0.146771037181996,0.4051475098861548,0.0576640443318412,0.0623420664293539,0.1929813575477953,4,0,0.8862819699852039,0.8478260869565217,0.8571428571428571,0.8909090909090909,0.7380952380952381,0.3545661189290485,0.4149543213146304,0.4889035414967639,0.3258185205455526,0.0423174277845385,0.0721900411445194,0.0248413575796416,0.0598661061809123,0.2104579281464265,0.2290272151103437,0.3436383311342844,0.1808433337178749,0.1441081907826219,0.1859271062042866,0.1452652103624794,0.1449751868276777
4,0.2328767123287671,0.5339740590716767,0.0516216778550755,0.0718812227308398,0.0821023634063258,1,0,0.8618540116629801,0.7608695652173914,0.7692307692307693,0.7922077922077922,0.6904761904761905,0.3379084173448317,0.6839387828293366,0.4877322968541236,0.6187713464821667,0.0150081058297127,0.0803835864260319,0.0239848217625995,0.0277435370655709,0.1518842601658603,0.3010342115080134,0.2526494728171979,0.2875709844128269,0.1860241571789713,0.3829045713213231,0.2350828240369256,0.3312003620693397
5,0.2133072407045009,0.5664619619458136,0.0471062482813675,0.1966725425307131,0.2808681963823199,3,0,0.8596107588016619,0.7732919254658385,0.8021978021978022,0.812987012987013,0.7063492063492064,0.5458095469452201,0.5420616954035394,0.643925144453506,0.5139669663928352,0.0497378386054958,0.0444980054017674,0.0361032273981567,0.1209422333794037,0.0941369838620189,0.1395709586545997,0.1545771504573312,0.117115463747988,0.4516725630832011,0.4024907367489397,0.4893479939961747,0.3968515026448471
6,0.111545988258317,0.3595634930951673,0.0169078024038914,0.0627459249264942,0.128164138941387,5,1,0.9356574133849797,0.8944099378881988,0.8736263736263736,0.9194805194805196,0.7936507936507936,0.2272474883309329,0.4514876164271534,0.3844458711457376,0.3419056330907972,0.01477409004675,0.0186915368667897,0.0151164002600554,0.0356938923021322,-0.0068391766870934,0.1306202964971715,0.055009142869727,0.1061736889599411,0.2340866650180263,0.3208673199299819,0.3294367282760105,0.235731944130856
7,0.0880626223091976,0.4643383562144098,0.0348924567973097,0.0935406734106896,0.1816326433820267,4,0,0.9358891054797488,0.9099378881987578,0.912087912087912,0.9402597402597402,0.8253968253968254,0.3910048411445228,0.4949471848215549,0.4963648036646944,0.4512851597747241,0.0259348974319413,0.0431332307362918,0.0086012711265684,0.1065182929066823,0.0423710807192343,0.1286657425603055,0.0878249461646493,0.1168850182737424,0.3486337604252884,0.3662814422612493,0.408539857500045,0.3344001415009816
8,0.1056751467710371,0.5651584336279272,0.0306788007912178,0.1622028636061028,0.2380186692448216,3,0,0.9554176072234764,0.9130434782608696,0.8571428571428571,0.9246753246753248,0.8015873015873016,0.3520934913501413,0.7310385391385025,0.6036855164755079,0.5569628832812121,0.0135005018722815,0.0439452792056065,0.0106446475335364,0.077844354605833,0.0382273817296854,0.2487322183201006,0.1239454794525178,0.2331420555240042,0.3138661096204559,0.4823063208184018,0.47974003702299,0.3238208277572079
9,0.0782778864970645,0.4921331895339431,0.0219693276926777,0.1227948220781168,0.2158662214487424,5,0,0.949623745819398,0.9565217391304348,0.8571428571428571,0.9532467532467532,0.8253968253968254,0.3588606826187294,0.5812099280312311,0.5662924467734379,0.434357196625484,0.0010490897635149,0.039745061324555,0.0187052414253843,0.0144227072922063,0.0552324362786195,0.163732688338074,0.1063781377197254,0.1575154606569282,0.3036282463401099,0.417477239693157,0.4599143090537124,0.2768417359685557
