period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,outperform_neighbor,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,dele_item_price10,dele_item_price20,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20,sale_bakery_improvement_average,sale_dairy_improvement_average,sale_price10_improvement_average,sale_price20_improvement_average,outperform_area_bakery,outperform_area_dairy,outperform_area_price10,outperform_area_price20
0,0.1805555555555555,0.0091288676919466,0.041264053463114,0.0001342094787259,-0.130700003501853,4,0,0.8568273092369478,0.8095238095238095,0.8296703296703297,0.8253968253968254,0.8015873015873016,0.0078993172832167,0.0045100492469285,0.0388137105559405,-0.0199303791058497,0.058344520444079,0.0286493943031469,0.0566863641276116,0.0924361493123771,0.0423710807192343,0.1286657425603055,0.0878249461646493,0.1168850182737424,-0.0344717634360177,-0.124155693313377,-0.0490112356087088,-0.1368153973795921
1,0.3134920634920635,0.0748200052445474,0.0588811285779015,0.0317401630521436,-0.0909008247904111,3,0,0.7013214146910222,0.692063492063492,0.6648351648351648,0.6772486772486772,0.7142857142857143,0.0065197132118474,0.1192096577709665,0.0328729664935135,0.1090335182037659,0.0772854811789607,0.0466984076297378,0.0794485273675775,0.0693235980123719,0.0382273817296854,0.2487322183201006,0.1239454794525178,0.2331420555240042,-0.031707668517838,-0.129522560549134,-0.0910725129590043,-0.1241085373202383
2,0.1408730158730158,-0.0285431828841147,0.0182636091816469,0.0033642520177495,-0.1135561325195802,5,0,0.859628074385123,0.8793650793650793,0.8186813186813187,0.8677248677248677,0.8333333333333334,-0.0359664611493004,-0.028396837249049,-0.0059530338007362,-0.0551530284697759,0.0209144222422784,0.0163276542605275,0.0260611322917615,0.0768341815097539,0.0552324362786195,0.163732688338074,0.1063781377197254,0.1575154606569282,-0.0911988974279199,-0.192129525587123,-0.1123311715204616,-0.2126684891267041
3,0.0846774193548387,0.0007916294432629,0.0481246174245155,-0.213764438501942,-0.2753318598770105,6,0,0.8876377575467178,0.8838709677419355,0.9664804469273744,0.9074074074074074,0.940677966101695,-0.1768200951101861,0.1260462207762876,-0.0915380393514604,0.069119260626452,0.0723658473596968,0.0350807580201111,0.0575498345145002,-0.0073569482288828,0.0777983241157332,0.6338857153845648,0.3699284368362452,0.556576140452021,-0.2546184192259193,-0.5078394946082773,-0.4614664761877056,-0.4874568798255689
4,0.1881390593047034,-0.1378313503176637,0.0332865309059001,-0.1412781477446847,-0.1687777914662682,5,0,0.8153141694225388,0.7752442996742671,0.8685714285714285,0.8037135278514589,0.8392857142857143,-0.1862768586916456,-0.1068919737165354,-0.1624012617014182,-0.1359649612116922,0.0540648687568376,0.0193518703636772,0.0560824134089651,-0.0251349267540478,0.0283888678361247,0.0931105846648444,0.0863843700291916,0.072002979625422,-0.2146657265277703,-0.2000025583813798,-0.2487856317306098,-0.2079679408371142
5,0.0351966873706004,-0.1868622856613254,0.0877412399079285,-0.2069634145954859,-0.2264017275706159,0,0,0.9532959701094208,0.973421926910299,0.9485714285714286,0.967654986522911,0.9553571428571428,-0.3040601339570213,-0.1050487079416506,-0.2734836029058574,-0.1393393694043901,0.1410421068724377,0.0572328348213665,0.1672263275112235,0.0908438061041292,-0.0207467063078864,0.2182154098019136,0.0543794226093243,0.204868376972387,-0.2833134276491348,-0.3232641177435642,-0.3278630255151817,-0.3442077463767771
6,0.0438931297709923,-0.1059050840363863,0.0152840217815912,0.0871445581461051,-0.1630066431034883,7,0,0.965941662451526,0.929878048780488,1.0,0.9447236180904522,0.992063492063492,0.0080492154888488,-0.1946763871553125,0.1032418964133291,-0.2892029731883058,0.0318727629072333,0.0,0.0258209289532387,0.0035067212156633,-0.0348974086014734,-0.1619074702953034,-0.0152787253291813,-0.2058570961983139,0.0429466240903222,-0.032768916860009,0.1185206217425104,-0.0833458769899918
7,0.0076190476190476,-0.0817983974969296,0.0138300258171819,0.0120645268518701,-0.2082729547365424,4,0,0.9940694226408512,0.9908814589665652,0.9947089947089948,0.9924812030075189,0.992063492063492,0.0391234175923705,-0.1758301634345743,0.120604523358548,-0.2575906254622787,0.0075866366813883,0.0196240957922373,0.0063807483706303,0.0,-0.0303323229217917,-0.1270956893875342,0.0016331459039619,-0.1746515102124924,0.0694557405141622,-0.04873447404704,0.118971377454586,-0.0829391152497862
8,0.0550660792951541,-0.1965885367148591,0.0137503012357432,0.123095569621696,-0.1197907013068092,7,0,0.9653486394557824,0.9326241134751772,0.963855421686747,0.9415204678362572,0.9553571428571428,-0.0545770385202208,-0.3055152176527499,0.001060422815143,-0.3784770965484977,0.0179955329223621,0.0094964947955484,0.0138891566021884,0.0348432055749128,-0.0745027994131006,-0.2619928958923271,-0.1033203211428333,-0.2915966203153432,0.0199257608928798,-0.0435223217604228,0.1043807439579763,-0.0868804762331544
9,0.0357142857142857,-0.2159024632634591,-0.0013448901231183,0.0824254112304714,-0.0995425070415519,4,0,0.9474914965986394,0.9969604863221884,0.8988095238095238,0.9566326530612244,0.9910714285714286,-0.1002627681195402,-0.305312206414996,-0.0149244019905547,-0.4021367110545987,-0.0014644972080675,-0.0012308662350898,-0.0028683057082508,0.0040513166779203,-0.0759885909650886,-0.2359609595960413,-0.1090805595211935,-0.2569863017414678,-0.0242741771544515,-0.0693512468189546,0.0941561575306388,-0.1451504093131309
10,0.0055555555555555,-0.5993817487943048,0.0356631712760531,-0.3763346368035254,-0.3527482998360073,5,0,0.9919775371038908,1.0,0.9833333333333332,1.0,0.975,-0.5909896256167023,-0.6077517830918846,-0.6008157852270675,-0.6559998035338124,0.0,0.0630351516831944,0.0,0.0,-0.0798505948434136,-0.0522768033430501,-0.1106145026900488,-0.0348284791370907,-0.5111390307732886,-0.5554749797488344,-0.4902012825370185,-0.6211713243967216
11,0.5607287449392713,-0.0872339794700293,0.4052614614784807,-0.0453698925207132,-0.0699650695099648,1,0,0.4422696718070383,0.3981762917933131,0.5212121212121212,0.4390862944162436,0.44,-0.0198574719771792,-0.1418234600350039,0.0487254619291005,-0.2100711813224986,0.3252641235501576,0.4725128175530506,0.3374233579741175,0.010143809189758,0.0156337123977314,-0.0315747447356271,0.0621518924818175,-0.0659935114798611,-0.0354911843749106,-0.1102487152993767,-0.013426430552717,-0.1440776698426374
12,0.492063492063492,-0.0882740865134291,0.2491671734836704,-0.0367801331246772,-0.1489639586059305,6,0,0.5706706281833617,0.4407294832826747,0.6342857142857142,0.4837092731829573,0.6,-0.0147656067464214,-0.1473713700405285,0.0581844779253704,-0.2196431125054349,0.2591203955076729,0.2407016024187659,0.2668978759150366,0.1637540876389797,0.0123646005475131,0.0093617120023799,0.0400775735700533,-0.0030091586818585,-0.0271302072939345,-0.1567330820429084,0.018106904355317,-0.2166339538235763
13,0.2460629921259842,-0.1001083098757229,0.1952251209331186,-0.0708395475380439,-0.1232863788456422,5,0,0.8384287925696594,0.7355623100303952,0.7877094972067039,0.7393483709273183,0.8073394495412844,-0.0288586846632357,-0.157478163070099,0.0408817089037378,-0.2281028581628585,0.0309197823761156,0.33462610986167,0.0591218621871148,0.00476996687523,0.0571254028030199,-0.058673264196313,0.0889951814175603,-0.096750143321451,-0.0859840874662556,-0.0988048988737859,-0.0481134725138224,-0.1313527148414074
14,0.0867052023121387,-0.1945351467942334,0.0192709174308294,-0.1697214378303868,-0.1911148404648804,3,1,0.9436650591845682,0.8991097922848664,0.9395604395604396,0.9115479115479116,0.9196428571428572,-0.1460532350075433,-0.2346297282262283,-0.0945855565899302,-0.2976898850774224,0.0060176157505534,0.0301551097558677,0.0018575094708542,0.026978417266187,0.0136922586955665,-0.018521358377568,0.0847644067578235,-0.0863582743987663,-0.1597454937031098,-0.2161083698486602,-0.1793499633477537,-0.211331610678656
15,0.3504587155963303,-0.116249823721419,0.1690134566144309,-0.0614697968833392,-0.1596115655405038,4,0,0.7834128878281623,0.6406685236768802,0.6666666666666666,0.6566125290023201,0.6228070175438597,0.0264254290987471,-0.2261048312562966,0.0676446201290455,-0.2801369677935991,0.054112155655374,0.2811851119107819,0.0829676558005332,0.2359648759855641,0.0762727473417745,-0.0089303397052167,0.1562390470658935,-0.0747008513545142,-0.0498473182430274,-0.2171744915510798,-0.088594426936848,-0.2054361164390848
16,0.2826475849731664,-0.0829665180833653,0.1345059282970106,-0.0885560239684125,-0.1460782534472453,3,0,0.733600506222316,0.7054054054054054,0.7407407407407407,0.6954545454545454,0.7983193277310925,-0.0181723841471497,-0.1356785776208703,0.0405311768488696,-0.1954149540470513,0.064197513455582,0.1932927780456016,0.0895573782646098,-0.0409090909090909,0.0690816438233069,0.1636362074613508,0.1830525346481601,0.1076264095049514,-0.0872540279704566,-0.2993147850822212,-0.1425213577992906,-0.3030413635520028
17,0.4053571428571428,-0.0466574704510244,0.120029105633636,-0.0358530880569841,-0.2096674382770661,5,0,0.6671102661596958,0.5525606469002695,0.6772486772486772,0.5668934240362812,0.6974789915966386,0.0843448681888966,-0.1483014582755626,0.1501716910228022,-0.2149315823888057,0.1247036271039993,0.1156485258054131,0.1471171420953681,-0.028669867269133,0.1095923837522451,0.0943992535895377,0.2206837427576533,0.037016291118066,-0.0252475155633485,-0.2427007118651004,-0.0705120517348511,-0.2519478735068717
18,0.1655172413793103,-0.198910767050935,0.0654631916563868,-0.2741671867438452,-0.298996371822866,2,1,0.8912797281993206,0.8081841432225064,0.8888888888888888,0.8163265306122449,0.8920863309352518,-0.1444715893276812,-0.2433662990204166,-0.1450910034005411,-0.2653523347963496,0.0285293779543172,0.0962019148942814,0.0340471101001313,-0.0234568756494631,0.0425251381952027,0.0926016891654954,0.0855834497494548,0.1098215222166817,-0.1869967275228839,-0.335967988185912,-0.230674453149996,-0.3751738570130313
19,0.2944162436548223,-0.0452601469446906,0.1432894763137895,-0.0778116226011952,-0.1934233537105675,0,0,0.7801942567567568,0.6842105263157895,0.7486910994764397,0.6930022573363431,0.7432432432432432,-0.0189607293307892,-0.0698442050811069,0.0073362135806168,-0.0974413430347446,0.0599211724639345,0.2080103807076401,0.0837470416551678,-0.0185969556585042,0.0909885120511674,0.1176705960825283,0.1320512283487143,0.1523353648190417,-0.1099492413819566,-0.1875148011636352,-0.1247150147680975,-0.2497767078537863
