period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,outperform_neighbor,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,dele_item_price10,dele_item_price20,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20,sale_bakery_improvement_average,sale_dairy_improvement_average,sale_price10_improvement_average,sale_price20_improvement_average,outperform_area_bakery,outperform_area_dairy,outperform_area_price10,outperform_area_price20
0,0.1506276150627615,0.5955608210553643,0.09408348523692,0.2082285878514526,0.4193728355026651,4,0,0.7584308327598073,0.8441558441558441,0.852760736196319,0.8579545454545454,0.8253968253968254,0.6408485153945358,0.4934308075681585,0.6549657322719477,0.6600720273786637,0.0378812721887781,0.1568497233031947,0.0605566698904486,-0.0034390961151524,0.4797493279726367,0.4208820031235968,0.6837557991754277,0.3805311435000173,0.1610991874218991,0.0725488044445616,-0.02879006690348,0.2795408838786463
1,0.1304347826086956,0.5184686229527565,0.3127456839163103,0.1203380120662001,0.1670554683511243,2,0,0.7621464829586657,0.8993506493506493,0.8095238095238095,0.9019607843137256,0.7777777777777778,0.3703138202463717,0.6156751408154783,0.4843435765922014,0.6885749528231355,0.0382561661618346,0.5493818168388744,0.0459190399729569,1.0100722258699932,0.2886018373417768,0.3612090279683013,0.503747806810057,0.2759302460792389,0.0817119829045949,0.2544661128471769,-0.0194042302178556,0.4126447067438966
2,0.0871369294605809,0.4940316257307723,0.0592557099657908,0.2896331685266337,0.2099717744624371,4,1,0.8381219341275403,0.9315960912052116,0.875,0.9241573033707864,0.8809523809523809,0.3593441942513229,0.578408290672752,0.4662585175192831,0.6471940595487818,0.0271560715889409,0.0873552702220749,0.0438254632396891,0.0034370811615785,0.1303716020201742,0.1594250692312704,0.2301420474414279,0.1214528953944547,0.2289725922311486,0.4189832214414815,0.2361164700778552,0.525741164154327
3,0.1446808510638297,0.5813248678113959,0.1015925086688666,0.2385696235306057,0.2859387929313101,4,0,0.824279007377599,0.8508474576271187,0.8571428571428571,0.8604651162790697,0.8412698412698413,0.4285714285714284,0.6809957949228721,0.4668514702757722,0.8846575416633703,0.0420213759468714,0.1530514078485412,0.0534046768650178,0.041879150066401,0.2104579281464265,0.2290272151103437,0.3436383311342844,0.1808433337178749,0.2181135004250018,0.4519685798125283,0.1232131391414877,0.7038142079454954
4,0.1416309012875536,0.62254823137187,0.0472501081741461,0.1602551327660697,0.1896877526616253,1,0,0.8376337319068596,0.8900343642611683,0.7976190476190477,0.8941176470588236,0.7619047619047619,0.4251619502216159,0.7661372155232418,0.4382414997751718,1.0372566440808595,0.0681174383848116,0.0301343569383307,0.0469450661891667,0.0373000794912559,0.1518842601658603,0.3010342115080134,0.2526494728171979,0.2875709844128269,0.2732776900557556,0.4651030040152283,0.1855920269579738,0.7496856596680326
5,0.1883116883116883,0.8119875864483268,0.1651811881414236,0.4416076469267169,0.4703367801671647,3,0,0.723030303030303,0.8885017421602788,0.6726190476190477,0.8482142857142857,0.7142857142857143,0.6577476689544759,0.9050597781202436,0.7111480059492924,1.1721946283782865,0.0396919070456253,0.2761767847290067,0.0555499959957515,0.0873180291153415,0.0941369838620189,0.1395709586545997,0.1545771504573312,0.117115463747988,0.5636106850924569,0.765488819465644,0.5565708554919611,1.0550791646302984
6,0.0989473684210526,0.6872923416485206,-0.0092902856388734,0.3908599330668595,0.2944463740442343,5,1,0.8856432566811684,0.8833333333333333,0.9285714285714286,0.9054441260744984,0.8888888888888888,0.4650380230955097,0.8538823492918184,0.5080616868517666,1.1162151618224438,-0.0163330972376808,-0.0036330782755248,0.0250762945051279,-0.1055749354005167,-0.0068391766870934,0.1306202964971715,0.055009142869727,0.1061736889599411,0.4718771997826031,0.723262052794647,0.4530525439820395,1.010041472862503
7,0.1139240506329113,0.731436633946303,0.086441501124807,0.3607210296849383,0.3780539478108558,4,0,0.820528967254408,0.9264214046822744,0.8095238095238095,0.9252873563218392,0.7777777777777778,0.5040246668346698,0.901717140798281,0.6018964605661709,1.1053085826711888,-0.0083295316944045,0.1626272870467503,0.0243117376841438,0.031342188370797,0.0423710807192343,0.1286657425603055,0.0878249461646493,0.1168850182737424,0.4616535861154354,0.7730513982379754,0.5140715144015215,0.9884235643974464
8,0.0989010989010989,0.6271246167003512,0.0593604548554609,0.2235086472014246,0.0137625255437532,3,0,0.7806364251861883,0.9428571428571428,0.8273809523809523,0.9240121580547112,0.8412698412698413,0.3422968025022605,0.8594333211157039,0.3543386847319604,1.1672520397451005,0.0254930977360574,0.0842111507062624,0.0112705366922234,0.0045060080106808,0.0382273817296854,0.2487322183201006,0.1239454794525178,0.2331420555240042,0.3040694207725751,0.6107011027956033,0.2303932052794425,0.9341099842210964
9,0.0790067720090293,0.5281622612721782,0.0765821897847416,0.1583043477691058,-0.7162100588834751,5,0,0.7946627131208303,0.9514925373134328,0.8690476190476191,0.9337539432176656,0.8888888888888888,0.3519322847952088,0.653565194526706,0.3214298067468139,0.9431913433394546,0.013657894736842,0.1288749150733503,0.0175945593441401,-0.0178398058252427,0.0552324362786195,0.163732688338074,0.1063781377197254,0.1575154606569282,0.2966998485165893,0.489832506188632,0.2150516690270884,0.7856758826825264
