period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,sale_bakery_improvement,sale_dairy_improvement,Manager_outperform_bakery,Manager_outperform_dairy,outperform_area_bakery,outperform_area_dairy
15,0.8203463203463204,-0.2682696008532722,0.0455150348304723,-0.2069523754784334,5,0,0.679372197309417,0.7993197278911565,0.8571428571428571,-0.3602390552995392,-0.2386672499628315,0.0422854195138945,0.0467717036590448,-0.4173644581025591,-0.1799939857665184
16,0.7829787234042553,-0.2216854038874218,0.1936528415798988,-0.195247562411581,3,1,0.481527604815276,0.7913907284768212,0.7678571428571429,-0.4106422811059909,-0.1479997371788636,0.0310685588083267,0.2457296836757308,-0.4243345398015574,-0.1294783788012955
17,0.6626506024096386,-0.2143353689079806,0.2192426220516967,-0.2620176186346172,4,0,0.3894428152492669,0.7546583850931677,0.4943181818181818,-0.354958717357911,-0.1631609091732329,0.1123256516667866,0.2574035590525352,-0.4312314646996855,-0.1542305694680161
18,0.6431372549019607,-0.0364538876219115,0.2569457290551291,-0.2925347616100221,3,0,0.3776150627615063,0.6920731707317073,0.554945054945055,-0.2954949116743472,0.0663973715693236,0.0894104650946846,0.3081962326063017,-0.3645765554976541,-0.0972388358920272
19,0.6862745098039216,-0.1395129763302017,0.0755044626185399,-0.2190743793236721,5,0,0.4243288191969589,0.7537993920972644,0.56353591160221,-0.2497719854070661,-0.1037263564892202,0.0403167360134319,0.0891430909733461,-0.3593643691593112,-0.1981256100787579
20,0.6564885496183206,-0.2071218251858019,0.2167965012507693,-0.2558513955338643,2,1,0.4282494365138993,0.7134670487106017,0.5428571428571428,-0.385640120967742,-0.1385281515504675,0.0701997427257813,0.2652062644362658,-0.4281652591629447,-0.2311298407159629
21,0.7434944237918216,-0.1604187078090466,-0.0189361237255885,-0.2990621578961782,0,0,0.5543558282208589,0.8011204481792717,0.6298342541436464,-0.3051555299539171,-0.1082962190106191,0.0090924707379543,-0.0290494763861329,-0.3961440420050846,-0.2259668150931474
22,0.8264014466546112,-0.1333526837351873,0.0014143141524575,-0.2639449708667037,5,0,0.6305787503599194,0.8599439775910365,0.7653061224489796,-0.2502850182411675,-0.0945852977803039,0.0194365190670088,-0.0054957710917198,-0.317318593083146,-0.2737097415386294
23,0.6455696202531647,0.0092618404653373,0.12278151834917,-0.1042705224877677,2,0,0.4532030895047705,0.6946778711484594,0.5561224489795918,-0.2240303379416283,0.0993789346577251,0.1487139640006294,0.1143059732005087,-0.281169622029518,-0.042514242638149
24,0.6196428571428572,0.4814558440991276,-0.0360393620214245,-0.188867960561414,5,0,0.494296577946768,0.6638655462184874,0.541871921182266,-0.0823612711213518,0.7162434138936332,0.1009184407431971,-0.0699476970340596,-0.1350930661807516,-0.1101106229705248
25,0.6724738675958188,-0.143390289242481,0.0794932460047441,-0.1610736884021744,1,1,0.4773303294846522,0.6498599439775911,0.7096774193548387,-0.3781802035330261,-0.0498709737305265,0.0411704630678307,0.0911268884092371,-0.3027245670549387,-0.1465756333974332
26,0.8157894736842106,-0.0597467550696659,0.1544448545421035,-0.1350623732872057,5,0,0.5502028397565923,0.8838526912181303,0.7050691244239631,-0.3055155529953918,0.0373721290188011,-0.0209792740320596,0.2088254690275715,-0.3330325072125013,-0.0701977963893057
27,0.8853615520282188,-0.0450273071970767,0.1393385226812781,-0.0889762397457674,6,0,0.6288942143101678,0.9257142857142856,0.8202764976958525,-0.2620727726574501,0.0385300846254125,0.0210009900340377,0.1782738470588681,-0.2745038248376393,-0.0906556382142244
28,0.7364620938628159,-0.3482937713659123,0.2034075761232116,-0.1886459109551653,4,0,0.4826910516002612,0.7596439169139466,0.7004608294930875,-0.5010080645161291,-0.2891436229043048,0.1189092174881649,0.2308730293653867,-0.373578153066911,-0.202784119774331
29,0.9172535211267606,-0.1518768157918965,-0.0162966603624686,-0.2225497470677719,4,0,0.8121634463097878,0.9206798866855525,0.9116279069767442,-0.3253168202764978,-0.0866149200755381,-0.027711356137811,-0.0123924146196325,-0.3769274385571155,-0.2143000357573722
30,0.522887323943662,-0.2271482453819476,0.1644520297703777,-0.1999666299286081,6,0,0.3586839266450917,0.5231607629427792,0.5223880597014925,-0.4142425115207374,-0.1542281246563495,0.0645536310914136,0.1964888918236054,-0.4618245402824967,-0.225500240442858
31,0.5240641711229947,0.0070981272276813,0.1145991715795392,-0.1726548693129808,1,0,0.2015369360436291,0.5614525139664804,0.458128078817734,-0.3757800499231952,0.1665192434610016,0.1133033052395145,0.1149202660160168,-0.4438011028297006,-0.1964037508145533
32,0.5672727272727274,-0.0042741320861862,0.1202317724908123,-0.0913233754939776,2,0,0.3042591175720479,0.5936599423631124,0.5221674876847291,-0.3424179147465438,0.1346345651849098,0.2187643752056564,0.0937893796827051,-0.3889330941045154,-0.1210877119664821
33,0.618348623853211,-0.2180169418228737,0.0343829665882555,-0.2645668905436238,3,0,0.3990929705215419,0.6666666666666666,0.5369458128078818,-0.4747863863287251,-0.112995836131377,0.1371266786452437,0.0062126062127,-0.5073626041640242,-0.3432301714894266
34,0.6519337016574587,-0.3690569752135827,-0.0005114473194909,-0.3672303989098995,3,0,0.2843355605048255,0.6970588235294117,0.5763546798029556,-0.5202587365591399,-0.3102387755806981,0.0500588119222697,-0.0167980429042491,-0.5048745336572541,-0.4402647762865734
35,0.5231910946196661,-0.2095614430043347,0.1035726567012409,-0.3736330085941539,2,0,0.2744656917885264,0.6369047619047619,0.334975369458128,-0.5371903801843319,-0.0718789652949993,0.1826939688128656,0.085303517827627,-0.532216669647221,-0.3936561180178796
36,0.6709796672828097,-0.2828682443511242,-0.0198990684417679,-0.3460561725181373,1,0,0.4513242662848962,0.6952662721893491,0.6305418719211823,-0.5024481566820277,-0.1939169724973004,0.0450329949330635,-0.0384576423513477,-0.4677993777079879,-0.374068593416025
37,0.6465201465201464,-0.3967258677138836,0.0912880491215142,-0.3823952808685936,4,0,0.3565488565488565,0.6967930029154519,0.5615763546798029,-0.5557915706605223,-0.3337753152242123,0.3284992540490425,0.0180514600201202,-0.5349551125225506,-0.4681271463410775
