period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,sale_bakery_improvement,sale_dairy_improvement,Manager_outperform_bakery,Manager_outperform_dairy,outperform_area_bakery,outperform_area_dairy
0,0.9695740365111563,0.0230448064674716,-0.0079733347850401,0.0098728232255145,3,0,0.945404071560765,0.9736842105263158,0.9615384615384616,0.0060505247385831,0.0531517383299034,-0.0185853843241196,0.0120423933381897,-0.0880864591234358,-0.0864192203246963
1,0.9919517102615695,-0.0162555948804469,-0.0037498944924003,-0.0137699558512622,5,1,0.9870045484080572,0.9935064935064936,0.989010989010989,-0.0870500993606632,0.1202089124757814,-0.0060802803972294,0.0,-0.0802109226735697,-0.01041138402139
2,0.9617706237424548,0.1916595376119589,0.0410245407114086,0.1272003264692702,3,0,0.9426274944567627,0.974025974025974,0.9395604395604396,0.0933228364453644,0.38180379556422,0.0030633078986794,0.1003287647372603,0.055095454715679,0.1330715772441194
3,0.9597585513078472,0.1855818532211879,0.045948473631256,0.132788445000987,5,0,0.9363432417274256,0.9805194805194806,0.9230769230769232,0.0981607166665609,0.3541944955894918,-0.0002222838906618,0.1198741218969248,0.0429282803879413,0.1904618072514177
4,0.9693877551020409,0.1791102635941609,0.0041054301250404,-0.0481835638745426,6,0,0.962390051562026,0.9802631578947368,0.9497206703910616,-0.008539303015104,0.5456394334332166,-0.0013793772863402,0.0110520251016054,-0.0863376271308372,-0.0882462819513482
5,0.9458333333333334,0.0817052957639325,0.0415857493352834,0.0880714546520886,5,0,0.918132201334142,0.9832214765100672,0.88,0.0624289714107945,0.1161203172196346,0.0142751566026195,0.0929148078763292,0.0340401035746697,0.0230097325547901
6,0.9672131147540984,0.0805023152480649,0.0453310464701715,0.0402130852416322,0,0,0.9592457420924574,0.9833887043189368,0.9388888888888888,-0.0133390896912517,0.2621454444805466,0.0075485226714908,0.1036477228846163,0.0074076166166347,0.0439300346786329
7,0.9163265306122449,0.0331354637407193,0.0337467393085023,-0.0324726194484355,5,0,0.9033434650455928,0.9269102990033222,0.8956043956043956,-0.0537944345330682,0.2012918637255255,0.0135875035226861,0.0650979494215698,-0.0317693649198563,-0.0222035329604919
8,0.9553752535496958,-0.0521880558278819,0.0351127719800079,-0.0722090021503798,6,0,0.9456558201945656,0.9835526315789472,0.9065934065934066,-0.1149345743363786,0.0685072866649817,-0.0155143830795639,0.1179116958883204,-0.0806845884872444,-0.0797972370930915
9,0.9416498993963783,-0.1281580981026559,0.0542978100663774,-0.1482008336620595,2,0,0.8676207513416816,0.9577922077922078,0.912087912087912,-0.198168970267988,0.0071362383720229,0.0058520594802603,0.1304519655872864,-0.1543141507482885,-0.1492639117974319
10,0.8450704225352113,-0.0149300885712964,0.0702263459302653,-0.0999982297613411,2,0,0.790646578782172,0.8344155844155844,0.8571428571428571,-0.1028589205559117,0.1553606026691695,0.0228533820219948,0.1428565104627787,-0.1078828111325181,-0.0999533278868497
11,0.9047619047619048,-0.0663190264498757,0.0211727605665487,-0.1381356496746586,3,0,0.8585823488533704,0.9253246753246752,0.8677248677248677,-0.1466284038169731,0.0891006895555795,0.0040799928577805,0.0476166798472629,-0.1468033227200929,-0.1346273691584642
12,0.8452380952380953,-0.1404238413591385,0.0797953177115419,-0.177310461127405,1,0,0.7460262612301313,0.8571428571428571,0.8201058201058201,-0.2406432729973905,0.0545567228660481,0.040698304404535,0.1353809773321845,-0.1824612218356328,-0.1656442802394923
13,0.9246031746031746,-0.1901774143108439,0.0066371969017996,-0.1656510605347729,3,0,0.83640081799591,0.9253246753246752,0.9206349206349206,-0.2725991860679208,-0.0301695608746404,-0.0253694630448235,0.0540353707198881,-0.1736498088817441,-0.1651397676215886
14,0.8293650793650794,0.021405391101151,0.1461937390025725,0.0595927349665285,3,0,0.7952421410365336,0.827922077922078,0.8253968253968254,-0.0392427003244299,0.1377095442675427,0.1092430684180417,0.2078032692563833,0.0535813580073249,0.0512970728952177
15,0.9265873015873016,0.3241605506437414,0.0301753152095478,0.1922497961809463,3,0,0.8699623858140785,0.9285714285714286,0.9206349206349206,0.1574723663075292,0.64881403660782,0.0213386665991569,0.0424234462070702,0.1292909908083253,0.3180083456746985
16,0.9444444444444445,0.1521920556368365,0.0455444683102428,0.0905360338665989,5,0,0.9282511210762332,0.9545454545454546,0.925925925925926,0.096141758778975,0.2589774600767776,0.0211322328410078,0.0875106638723537,0.0812657255094307,0.1060152537358865
17,0.9664694280078896,0.1207798851126604,0.0158860088740476,0.0656640260163452,6,0,0.9354940213971052,0.9772727272727272,0.9479166666666666,0.0277638454163942,0.3006576651383321,0.0108569310600444,0.0237322557439692,0.0525232432094689,0.0901740613336027
