date,DelegationDecision_demand,DelegationDecision,DelegationDecision_bakery,DelegationDecision_dairy,DelegationDecision_price10,DelegationDecision_price20,sale_improvement,sale_bakery_improvement,sale_dairy_improvement,sale_price10_improvement,sale_price20_improvement,Manager_outperform,Manager_outperform_bakery,Manager_outperform_dairy,Manager_outperform_price10,Manager_outperform_price20,BadWeather,Holiday,sale_improvement_average,sale_bakery_improvement_average,sale_dairy_improvement_average,sale_price10_improvement_average,sale_price20_improvement_average,outperform_area,outperform_area_bakery,outperform_area_dairy,outperform_area_price10,outperform_area_price20
2018-04-09,0.8076134699853587,0.855072463768116,0.8106312292358804,0.9257142857142856,0.8263305322128851,0.9365079365079364,-0.008687311075351,-0.0941436554682755,0.043887326240974,-0.1788893429684606,0.1022232588427384,0.0003718540578371,-0.0001446273280334,0.0006475893486496,0.0001332640972736,0.001520773769694,4,0,-0.04503126343743511,-0.06765677685045232,-0.02857424649446177,-0.11140451320876904,-0.0016382919042182335,0.03634395236208411,-0.026486878617823173,0.07246157273543577,-0.06748482975969156,0.10386155074695663
2018-04-16,0.8552537526804861,0.8964803312629399,0.8803986710963455,0.92,0.8991596638655462,0.8888888888888888,-0.0304610566958996,0.0342286777592624,-0.0702596152608634,-0.068972738180114,-0.0072046868615146,-0.0011856089881148,-0.000541436215749,-0.0016264573376548,-0.0009215114429555,-0.0019719999414836,1,0,-0.025242804383910557,-0.06028694520506567,-0.001048923602095526,-0.10600860151454049,0.029072080855612692,-0.005218252311989042,0.09451562296432807,-0.06921069165876788,0.03703586333442649,-0.03627676771712729
2018-04-23,0.9585365853658536,0.9751552795031057,0.9700996677740864,0.9828571428571428,0.9775910364145658,0.9682539682539684,-0.0216760630372189,-0.0969963270268864,0.0246626329362365,-0.1678505605816578,0.0726595839200844,0.0006351149459329,0.001806532533966,0.0,0.0005903053695084,0.0020052009900679,3,0,-0.014122159387831235,-0.046479301141556885,0.008780620414870434,-0.09101465926019071,0.03795615973325161,-0.007553903649387666,-0.05051702588532952,0.015882012521366062,-0.07683590132146707,0.03470342418683279
2018-04-30,0.94540864626065,0.9606625258799172,0.973421926910299,0.9371428571428572,0.9803921568627452,0.9047619047619048,-0.0596644199493643,-0.0571962760591546,-0.06118287678009,-0.1324668678046644,-0.0158349217092662,0.0008208304338931,7.844490814101257e-05,0.0012795019358698,0.0004702588610986,0.0019993700614874,5,1,-0.027278039616209213,-0.03793177520863721,-0.01804167746545669,-0.081159347778216,0.009166045120702194,-0.032386380333155086,-0.01926450085051739,-0.04314119931463331,-0.05130752002644841,-0.025000966829968392
2018-05-07,0.9438322076075364,0.9358178053830228,0.9302325581395348,0.9428571428571428,0.9411764705882352,0.9206349206349206,-0.0042581933379512,-0.045238299503466,0.0209536763499221,-0.1101906725669777,0.0648458722538872,0.0007985974430332,0.0012128401706829,0.0005602690310019,7.696632936885472e-05,0.0040001344583011,4,0,-0.03122077320722675,-0.04062534501983382,-0.022954964447502724,-0.08238051596086894,0.00297995099889408,0.026962579869275548,-0.004612954483632178,0.04390864079742482,-0.027810156606108763,0.06186592125499312
2018-05-14,0.7602459016393442,0.8695652173913043,0.8338870431893688,0.9257142857142856,0.876750700280112,0.8492063492063492,-0.006262282592199,-0.0944331488042234,0.0479823887179772,-0.1829781722024696,0.1090709820670288,0.0010529052490566,0.0030334779291146,0.0,0.0030002931055572,0.0,3,0,-0.0025741950660768693,-0.04432106891256109,0.027406461193321286,-0.08361834654368937,0.05344777218284789,-0.0036880875261221307,-0.05011207989166232,0.020575927524655913,-0.09935982565878022,0.05562320988418091
2018-05-21,0.791650708540789,0.842436974789916,0.7973421926910299,0.9166666666666666,0.8599439775910365,0.7899159663865546,-0.0524464792135835,-0.0857652534461328,-0.0319480307537891,-0.1640110759727717,0.0172356510812842,0.0,0.0,0.0,0.0,0.0,5,0,0.013377517864358946,-0.045194650681338044,0.05379345723867888,-0.0819899956258576,0.07952596423173747,-0.06582399707794245,-0.04057060276479475,-0.08574148799246797,-0.0820210803469141,-0.06229031315045327
2018-05-28,0.7060849598163031,0.8245243128964059,0.785234899328859,0.8869047619047619,0.8202247191011236,0.8376068376068376,-0.0139172596593278,-0.075275874470618,0.0238319202623301,-0.1456124009647525,0.0714361830853486,0.0001208650568738,2.760404646071777e-05,0.0001726872291445,-7.539237295276446e-05,0.0006603417761917,6,0,0.03995964541301674,-0.018760285296136246,0.08227111302045004,-0.05549877541006476,0.10844451672648267,-0.05387690507234454,-0.05651558917448175,-0.058439192758119936,-0.09011362555468774,-0.03700833364113407
2018-06-04,0.5445544554455446,0.7813852813852814,0.735191637630662,0.8511904761904762,0.7657142857142857,0.8303571428571429,0.0094613670748632,-0.0105540395308432,0.0217752888849907,-0.0742892727293475,0.064923372759255,0.0,0.0,0.0,0.0,0.0,5,0,0.07168417988058191,0.031205368810762354,0.10386547687635102,-0.00953821418872857,0.13318470236343857,-0.062222812805718716,-0.041759408341605554,-0.08209018799136032,-0.06475105854061894,-0.06826132960418357
2018-06-11,0.2662207357859532,0.6623376623376623,0.5888501742160279,0.7738095238095238,0.6628571428571428,0.6607142857142857,-0.0050525853435506,-0.0035068842360523,-0.0060035349272645,-0.1049776794298715,0.0600657517978041,0.0,0.0,0.0,0.0,0.0,0,0,0.040769353391489474,-0.015092937228329375,0.08024644945055084,-0.05011932933633703,0.10540191849032599,-0.04582193873504008,0.011586052992277076,-0.08624998437781535,-0.05485835009353447,-0.045336166692521884
